epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,18345.7,1.23663,0.54565,1.35181,0.95507,0.89207,0.95736,0.61893,1.28657,0.56314,1.65002,0.007195,0.007195,0.007195
87,18558.9,1.23122,0.54459,1.34459,0.95746,0.89195,0.95803,0.61895,1.28611,0.56187,1.64957,0.007162,0.007162,0.007162
88,18771.5,1.23611,0.54382,1.3572,0.95818,0.89138,0.95782,0.61838,1.28705,0.56154,1.65015,0.007129,0.007129,0.007129
89,18984.7,1.23826,0.54245,1.35229,0.95969,0.89175,0.95795,0.61845,1.28703,0.56092,1.65001,0.007096,0.007096,0.007096
90,19198.3,1.23687,0.5439,1.35455,0.95981,0.89183,0.95768,0.61845,1.28715,0.56052,1.64998,0.007063,0.007063,0.007063
91,19411,1.22499,0.53366,1.352,0.96006,0.89195,0.95781,0.61856,1.28617,0.5593,1.64932,0.00703,0.00703,0.00703
92,19623.8,1.22996,0.53848,1.35287,0.96008,0.89256,0.95835,0.61922,1.28417,0.55767,1.64759,0.006997,0.006997,0.006997
93,19837.3,1.22951,0.54076,1.35339,0.95935,0.89544,0.9583,0.61965,1.28323,0.55654,1.64714,0.006964,0.006964,0.006964
94,20050.9,1.22307,0.53739,1.34819,0.9587,0.89533,0.95767,0.61996,1.28371,0.55558,1.64779,0.006931,0.006931,0.006931
95,20264.3,1.22269,0.53639,1.34314,0.95696,0.89545,0.95774,0.62021,1.28308,0.55573,1.64721,0.006898,0.006898,0.006898
96,20477.5,1.23999,0.5437,1.35944,0.95604,0.89583,0.95757,0.62019,1.2828,0.55543,1.64719,0.006865,0.006865,0.006865
97,20690.7,1.23641,0.5402,1.35243,0.95617,0.89596,0.95786,0.62081,1.28247,0.55505,1.64701,0.006832,0.006832,0.006832
98,20904.3,1.22162,0.53791,1.34972,0.95369,0.89787,0.95799,0.62068,1.28265,0.55491,1.64715,0.006799,0.006799,0.006799
