epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,19297.6,1.06149,0.5685,1.05796,0.74922,0.74381,0.7852,0.56616,1.01553,0.48125,1.0602,0.008416,0.008416,0.008416
66,19593.7,1.06068,0.56822,1.05599,0.74791,0.7461,0.78588,0.56685,1.01521,0.48079,1.05999,0.00839125,0.00839125,0.00839125
67,19890.4,1.06033,0.56189,1.0544,0.74492,0.74782,0.78646,0.56779,1.01484,0.48033,1.05978,0.0083665,0.0083665,0.0083665
68,20186.9,1.06311,0.5669,1.05747,0.74556,0.74901,0.78707,0.56829,1.01444,0.47994,1.05955,0.00834175,0.00834175,0.00834175
69,20482.7,1.06123,0.56477,1.0531,0.74589,0.74999,0.78757,0.56884,1.01417,0.4795,1.05935,0.008317,0.008317,0.008317
70,20776.6,1.06433,0.56328,1.0513,0.74684,0.75051,0.78782,0.56934,1.01391,0.47914,1.0592,0.00829225,0.00829225,0.00829225
71,21070,1.05806,0.56143,1.05276,0.74922,0.7499,0.78856,0.57001,1.0137,0.47881,1.05904,0.0082675,0.0082675,0.0082675
72,21364,1.06524,0.56333,1.05322,0.7495,0.74977,0.78925,0.57063,1.01351,0.47841,1.05891,0.00824275,0.00824275,0.00824275
73,21657.1,1.05879,0.56004,1.05214,0.7493,0.75019,0.79005,0.57121,1.01325,0.47797,1.05874,0.008218,0.008218,0.008218
74,21950.2,1.05743,0.56173,1.05217,0.74927,0.75185,0.79086,0.57176,1.01302,0.47753,1.05858,0.00819325,0.00819325,0.00819325
75,22243,1.05726,0.55715,1.04907,0.74617,0.75299,0.79126,0.57252,1.01281,0.47724,1.05845,0.0081685,0.0081685,0.0081685
76,22536.5,1.04843,0.55334,1.04873,0.74621,0.75429,0.79156,0.57272,1.0126,0.4769,1.05829,0.00814375,0.00814375,0.00814375
77,22829.3,1.06149,0.56083,1.05468,0.74746,0.75138,0.79186,0.573,1.01252,0.47664,1.05822,0.008119,0.008119,0.008119
78,23122.9,1.05446,0.55449,1.05099,0.74669,0.75359,0.7921,0.57342,1.01233,0.47635,1.05809,0.00809425,0.00809425,0.00809425
79,23416,1.05789,0.55479,1.05062,0.74742,0.75436,0.79282,0.57433,1.01215,0.47592,1.05798,0.0080695,0.0080695,0.0080695
80,23708.9,1.0496,0.55424,1.04884,0.74615,0.75472,0.79331,0.57486,1.01191,0.47565,1.05786,0.00804475,0.00804475,0.00804475
81,24001.8,1.05325,0.54956,1.04911,0.74583,0.75591,0.79379,0.57535,1.01172,0.47526,1.05776,0.00802,0.00802,0.00802
82,24295.1,1.05416,0.55305,1.0478,0.74387,0.7576,0.79418,0.57581,1.01156,0.47502,1.05764,0.00799525,0.00799525,0.00799525
83,24587.6,1.05058,0.5503,1.05061,0.74234,0.76101,0.79484,0.57666,1.01135,0.47472,1.05749,0.0079705,0.0079705,0.0079705
84,24880.9,1.04944,0.55307,1.04669,0.74319,0.7607,0.79529,0.5773,1.01115,0.47438,1.05736,0.00794575,0.00794575,0.00794575
85,25174.2,1.05204,0.54842,1.05259,0.74556,0.76092,0.79599,0.57763,1.01095,0.47404,1.05723,0.007921,0.007921,0.007921
86,25467.3,1.04885,0.54448,1.04597,0.74582,0.76177,0.79644,0.57836,1.01076,0.47385,1.0571,0.00789625,0.00789625,0.00789625
87,25760.4,1.05559,0.55473,1.05128,0.74674,0.76204,0.79698,0.57894,1.01063,0.47354,1.05703,0.0078715,0.0078715,0.0078715
88,26054.1,1.04698,0.54927,1.04866,0.74825,0.75852,0.7974,0.57938,1.01044,0.47323,1.05691,0.00784675,0.00784675,0.00784675
89,26346.9,1.0476,0.54606,1.04788,0.7506,0.75907,0.79788,0.5798,1.01027,0.47295,1.05677,0.007822,0.007822,0.007822
90,26639.4,1.04819,0.54965,1.04988,0.74967,0.75993,0.79812,0.58027,1.01002,0.47271,1.05663,0.00779725,0.00779725,0.00779725
91,26933,1.05342,0.54989,1.04896,0.75014,0.75951,0.79825,0.58034,1.00985,0.47252,1.05653,0.0077725,0.0077725,0.0077725
92,27225.9,1.04513,0.54512,1.0448,0.74978,0.76079,0.79871,0.5811,1.00964,0.47234,1.05642,0.00774775,0.00774775,0.00774775
93,27519.6,1.05554,0.5463,1.04928,0.74945,0.76074,0.79898,0.5814,1.0094,0.47223,1.0563,0.007723,0.007723,0.007723
94,27813,1.04469,0.54573,1.04713,0.75009,0.76118,0.79939,0.58197,1.00928,0.47211,1.05622,0.00769825,0.00769825,0.00769825
95,28106.1,1.04368,0.54399,1.04552,0.7502,0.76339,0.79957,0.58207,1.0091,0.47195,1.05612,0.0076735,0.0076735,0.0076735
96,28399.4,1.04431,0.54393,1.04349,0.74969,0.76394,0.79986,0.58243,1.00891,0.47173,1.05599,0.00764875,0.00764875,0.00764875
97,28692.4,1.04443,0.54464,1.04507,0.74826,0.76573,0.79988,0.5826,1.00867,0.47158,1.05585,0.007624,0.007624,0.007624
98,28985.8,1.04642,0.54812,1.04492,0.75207,0.76214,0.80016,0.58284,1.00837,0.4714,1.05566,0.00759925,0.00759925,0.00759925
99,29279.4,1.04536,0.54336,1.04567,0.75125,0.76211,0.80026,0.5831,1.00813,0.47122,1.0555,0.0075745,0.0075745,0.0075745
100,29572.6,1.04047,0.54041,1.04334,0.75069,0.76191,0.80041,0.58342,1.00785,0.4711,1.05535,0.00754975,0.00754975,0.00754975
101,29866,1.0437,0.54025,1.04597,0.75302,0.75905,0.80048,0.58369,1.00762,0.47092,1.05518,0.007525,0.007525,0.007525
102,30158.9,1.04661,0.53804,1.04539,0.75639,0.75645,0.80046,0.58382,1.00735,0.47081,1.05502,0.00750025,0.00750025,0.00750025
103,30451.2,1.03011,0.53294,1.04177,0.75583,0.75733,0.8008,0.58394,1.00711,0.47067,1.05486,0.0074755,0.0074755,0.0074755
104,30744,1.03594,0.5332,1.03837,0.75157,0.75931,0.80084,0.5842,1.00686,0.47046,1.05469,0.00745075,0.00745075,0.00745075
105,31036.9,1.03329,0.53494,1.04446,0.75461,0.75685,0.80093,0.58431,1.00656,0.4704,1.05449,0.007426,0.007426,0.007426
106,31329.8,1.0329,0.53301,1.04118,0.74959,0.76285,0.80123,0.5845,1.00626,0.47026,1.0543,0.00740125,0.00740125,0.00740125
107,31623,1.03672,0.53034,1.04177,0.75439,0.75848,0.80177,0.58523,1.00594,0.47001,1.05409,0.0073765,0.0073765,0.0073765
108,31916,1.03462,0.53347,1.04175,0.75349,0.75876,0.80207,0.58583,1.0057,0.46984,1.0539,0.00735175,0.00735175,0.00735175
109,32209.4,1.04016,0.5389,1.04444,0.75325,0.76042,0.80214,0.58608,1.00542,0.46982,1.05372,0.007327,0.007327,0.007327
110,32502.9,1.03721,0.53327,1.04092,0.75488,0.75997,0.80206,0.58632,1.00514,0.46976,1.05355,0.00730225,0.00730225,0.00730225
111,32796.1,1.03852,0.53662,1.04219,0.75271,0.76265,0.80257,0.58703,1.00499,0.46953,1.05342,0.0072775,0.0072775,0.0072775
112,33088.9,1.03854,0.53285,1.03902,0.75861,0.75938,0.80303,0.58765,1.00471,0.46929,1.05328,0.00725275,0.00725275,0.00725275
113,33381.7,1.0393,0.53534,1.04241,0.75788,0.75986,0.80341,0.58805,1.00447,0.46906,1.05311,0.007228,0.007228,0.007228
114,33674,1.03781,0.53441,1.04145,0.76055,0.75898,0.8035,0.58837,1.00422,0.46894,1.05299,0.00720325,0.00720325,0.00720325
115,33966.5,1.02851,0.52957,1.03689,0.76163,0.75984,0.80385,0.58861,1.00406,0.4687,1.05287,0.0071785,0.0071785,0.0071785
116,34258.9,1.03237,0.52976,1.04253,0.7591,0.76048,0.80425,0.58897,1.0038,0.46845,1.05273,0.00715375,0.00715375,0.00715375
117,34551.4,1.03989,0.53571,1.04518,0.75872,0.7608,0.8046,0.58918,1.00368,0.46835,1.05263,0.007129,0.007129,0.007129
118,34844.7,1.03751,0.53355,1.04204,0.75648,0.7626,0.80488,0.58946,1.00338,0.46818,1.05243,0.00710425,0.00710425,0.00710425
119,35137.5,1.0286,0.53066,1.03568,0.75613,0.76439,0.80508,0.58983,1.00321,0.468,1.05232,0.0070795,0.0070795,0.0070795
120,35430.5,1.02819,0.53005,1.0374,0.75776,0.7638,0.80546,0.59046,1.00297,0.46778,1.05214,0.00705475,0.00705475,0.00705475
121,35723.1,1.03267,0.52733,1.0371,0.76199,0.7603,0.80587,0.59089,1.00283,0.46744,1.05201,0.00703,0.00703,0.00703
122,36016.1,1.03335,0.52561,1.03901,0.75708,0.76395,0.80616,0.59135,1.0026,0.46713,1.05185,0.00700525,0.00700525,0.00700525
123,36308.5,1.03639,0.52868,1.04017,0.75925,0.76413,0.80649,0.5917,1.00236,0.46693,1.0517,0.0069805,0.0069805,0.0069805
124,36600.9,1.02965,0.52407,1.03765,0.75924,0.76329,0.80643,0.59172,1.00212,0.46664,1.0515,0.00695575,0.00695575,0.00695575
125,36893.8,1.03366,0.52514,1.03922,0.76007,0.76185,0.80658,0.59215,1.00198,0.46634,1.05132,0.006931,0.006931,0.006931
126,37190.3,1.02884,0.52546,1.0373,0.76805,0.75689,0.8068,0.59256,1.00176,0.46609,1.05114,0.00690625,0.00690625,0.00690625
127,37483.3,1.03414,0.52682,1.03743,0.76297,0.7619,0.80726,0.59299,1.00148,0.4658,1.05094,0.0068815,0.0068815,0.0068815
128,37776.2,1.02794,0.52378,1.03713,0.76523,0.76021,0.8075,0.59315,1.00126,0.46545,1.05078,0.00685675,0.00685675,0.00685675
129,38069.2,1.02825,0.52171,1.03516,0.76522,0.7607,0.80767,0.59336,1.00095,0.46511,1.05058,0.006832,0.006832,0.006832
130,38361.7,1.02586,0.52377,1.03956,0.76251,0.76271,0.80782,0.59387,1.00068,0.46487,1.05042,0.00680725,0.00680725,0.00680725
131,38654.3,1.02438,0.52554,1.03626,0.76,0.76623,0.80812,0.59423,1.00039,0.46446,1.05022,0.0067825,0.0067825,0.0067825
132,38949.1,1.02133,0.52228,1.03191,0.76046,0.76613,0.80843,0.59441,1.00006,0.46408,1.05002,0.00675775,0.00675775,0.00675775
133,39242.3,1.02568,0.52442,1.03581,0.76237,0.76323,0.80881,0.59481,0.99979,0.46364,1.04984,0.006733,0.006733,0.006733
134,39535,1.02567,0.52169,1.03712,0.76181,0.76331,0.80896,0.59517,0.99958,0.46343,1.04969,0.00670825,0.00670825,0.00670825
135,39827.2,1.01515,0.51485,1.03401,0.76212,0.76375,0.80913,0.5953,0.99931,0.46318,1.04952,0.0066835,0.0066835,0.0066835
136,40119.8,1.01491,0.51608,1.03181,0.76188,0.76422,0.80944,0.59587,0.99912,0.46278,1.04937,0.00665875,0.00665875,0.00665875
137,40412.7,1.02458,0.52067,1.03509,0.76725,0.7607,0.80967,0.5961,0.99879,0.46239,1.04915,0.006634,0.006634,0.006634
138,40705.3,1.02047,0.51848,1.03337,0.76885,0.76035,0.81002,0.59649,0.99863,0.46204,1.04903,0.00660925,0.00660925,0.00660925
139,40998.3,1.0225,0.51886,1.0368,0.76841,0.76031,0.81008,0.59664,0.9984,0.46188,1.04891,0.0065845,0.0065845,0.0065845
140,41291.2,1.02209,0.51823,1.03086,0.77051,0.75886,0.8105,0.59699,0.99816,0.46155,1.04878,0.00655975,0.00655975,0.00655975
141,41584.3,1.01824,0.51849,1.03393,0.77328,0.75706,0.811,0.59761,0.99793,0.46123,1.0486,0.006535,0.006535,0.006535
142,41877.7,1.0178,0.52339,1.03609,0.77687,0.75676,0.81115,0.59787,0.99762,0.46083,1.0484,0.00651025,0.00651025,0.00651025
143,42178.3,1.01852,0.51787,1.03903,0.77845,0.75714,0.8115,0.59855,0.99733,0.46038,1.04822,0.0064855,0.0064855,0.0064855
144,42470.6,1.02345,0.52364,1.03576,0.77917,0.75766,0.81191,0.59899,0.99712,0.45988,1.04806,0.00646075,0.00646075,0.00646075
145,42763.5,1.01437,0.51627,1.02989,0.77869,0.75773,0.81248,0.59949,0.99695,0.45951,1.04795,0.006436,0.006436,0.006436
146,43056.3,1.02297,0.5192,1.0372,0.78021,0.75684,0.81261,0.59945,0.99677,0.45921,1.0478,0.00641125,0.00641125,0.00641125
147,43348.8,1.01516,0.51359,1.02776,0.78095,0.75697,0.81311,0.60005,0.99664,0.45882,1.04771,0.0063865,0.0063865,0.0063865
148,43641.9,1.00832,0.51128,1.02919,0.78092,0.75731,0.81342,0.60024,0.9964,0.45841,1.04755,0.00636175,0.00636175,0.00636175
149,43934.2,1.02047,0.51967,1.03384,0.78061,0.75672,0.81403,0.60065,0.99615,0.45792,1.04742,0.006337,0.006337,0.006337
150,44227.5,1.01833,0.51357,1.03067,0.78344,0.75505,0.81446,0.60102,0.9959,0.45756,1.04728,0.00631225,0.00631225,0.00631225
151,44519.7,1.01868,0.51934,1.03276,0.78495,0.75613,0.8148,0.60142,0.99564,0.4571,1.04715,0.0062875,0.0062875,0.0062875
152,44811.6,1.01459,0.51098,1.03273,0.78491,0.75629,0.81494,0.60152,0.99539,0.45682,1.047,0.00626275,0.00626275,0.00626275
153,45104.4,1.01627,0.51736,1.0313,0.78425,0.75831,0.81512,0.60173,0.99512,0.45639,1.04683,0.006238,0.006238,0.006238
154,45397.3,1.018,0.51908,1.0316,0.78299,0.7601,0.81539,0.60205,0.99483,0.45605,1.04664,0.00621325,0.00621325,0.00621325
155,45689.9,1.01797,0.51303,1.03151,0.77994,0.76225,0.81596,0.60255,0.99466,0.45566,1.04652,0.0061885,0.0061885,0.0061885
156,45983.4,1.01012,0.51075,1.02474,0.78248,0.76158,0.81654,0.60298,0.99435,0.45521,1.04628,0.00616375,0.00616375,0.00616375
157,46276.3,1.01872,0.51423,1.03145,0.78241,0.76345,0.81706,0.60339,0.99408,0.45481,1.0461,0.006139,0.006139,0.006139
158,46568.6,1.01477,0.51497,1.03331,0.78265,0.76237,0.81735,0.60375,0.99381,0.45448,1.04593,0.00611425,0.00611425,0.00611425
159,46861.2,1.01641,0.51343,1.03531,0.7817,0.76322,0.81785,0.60413,0.99366,0.45413,1.04579,0.0060895,0.0060895,0.0060895
160,47154.3,1.00921,0.50782,1.03111,0.77871,0.76651,0.81805,0.60431,0.99344,0.45382,1.04566,0.00606475,0.00606475,0.00606475
161,47447,1.0091,0.50548,1.02687,0.78179,0.76446,0.81838,0.60445,0.99321,0.45347,1.04553,0.00604,0.00604,0.00604
162,47740.3,1.01437,0.50914,1.02686,0.77802,0.76915,0.81869,0.6049,0.99297,0.45316,1.0454,0.00601525,0.00601525,0.00601525
163,48032.7,1.00403,0.50374,1.02793,0.7816,0.76588,0.81912,0.60528,0.99278,0.45271,1.04527,0.0059905,0.0059905,0.0059905
164,48325.2,1.00556,0.5062,1.02798,0.78358,0.76567,0.81949,0.60538,0.99255,0.45246,1.04515,0.00596575,0.00596575,0.00596575
165,48617.9,1.01533,0.5084,1.02944,0.77605,0.77248,0.82006,0.60594,0.9924,0.45217,1.04503,0.005941,0.005941,0.005941
166,48911.1,1.00759,0.50742,1.02783,0.78531,0.76591,0.82025,0.60628,0.99216,0.45187,1.0449,0.00591625,0.00591625,0.00591625
167,49203.7,1.00368,0.50412,1.02953,0.78047,0.77018,0.82066,0.60713,0.9919,0.4515,1.04474,0.0058915,0.0058915,0.0058915
168,49496.4,1.00683,0.50422,1.02643,0.78381,0.7692,0.82099,0.60719,0.99178,0.45119,1.04463,0.00586675,0.00586675,0.00586675
169,49788.9,1.00977,0.5096,1.03226,0.78389,0.76957,0.82142,0.60735,0.99154,0.45086,1.04449,0.005842,0.005842,0.005842
170,50080.8,1.0059,0.50509,1.02823,0.7831,0.7695,0.82164,0.60722,0.99132,0.45051,1.04436,0.00581725,0.00581725,0.00581725
171,50373,1.00569,0.50773,1.02682,0.78491,0.76889,0.82197,0.60735,0.99114,0.45016,1.04424,0.0057925,0.0057925,0.0057925
172,50665,1.00413,0.50275,1.02494,0.78198,0.77265,0.82216,0.60744,0.99093,0.44976,1.04409,0.00576775,0.00576775,0.00576775
173,50958.1,1.00736,0.50358,1.02623,0.78394,0.77255,0.82236,0.6077,0.99069,0.44951,1.04393,0.005743,0.005743,0.005743
174,51251.4,1.0007,0.5032,1.02203,0.78557,0.77154,0.82264,0.60811,0.9905,0.44916,1.04379,0.00571825,0.00571825,0.00571825
175,51544.1,1.0037,0.50436,1.02827,0.78791,0.76922,0.82292,0.60832,0.99037,0.4488,1.04369,0.0056935,0.0056935,0.0056935
176,51837.1,1.00777,0.50321,1.02911,0.78887,0.76767,0.82322,0.60862,0.99021,0.44843,1.0436,0.00566875,0.00566875,0.00566875
